ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Labour and Employment,Healthcare,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola",(Employee's State Insurance Company [ESIC]),481,Assam,12/2017,10/2021,04/2025,06/2026,143.23,154.75,130.08,98.0,8.0430077497731,2026-04
Ministry of Housing & Urban Affairs,Construction,Solapur Sewerage Management Infrastructure Project,(Ministry of Housing & Urban Affairs),303,Maharashtra,03/2017,04/2018,03/2023,06/2026,180.24,180.24,172.22,98.0,0.0,2026-04
Ministry of Petroleum & Natural Gas,Energy Storage,Pipeline Replacement Project- PRP-IX,(Ministry of Petroleum & Natural Gas),434,Offshore,08/2025,08/2025,05/2027,,6175.0,6175.0,520.71,11.3,0.0,2026-04
Ministry of Petroleum & Natural Gas,Energy Storage,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU, Guwahati Refinery",(Ministry of Petroleum & Natural Gas),366,Assam,05/2021,05/2021,10/2023,05/2026,412.3,577.0,457.64,94.9,39.94664079553723,2026-04
Ministry of Housing & Urban Affairs,Construction,Mira-Bhayandar Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),301,Maharashtra,11/2016,08/2018,03/2023,05/2026,204.55,204.55,186.13,99.0,0.0,2026-04
Ministry of Coal,Coal,KARO EXPANSION OCP,(Ministry of Coal),45,Jharkhand,01/2022,01/2022,03/2029,,908.47,908.47,289.45,23.57,0.0,2026-04
Ministry of Petroleum & Natural Gas,Energy Storage,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03",(Hindustan Petroleum Corporation Limited),454,West Bengal,06/2022,06/2022,06/2030,06/2030,2628.0,2628.0,388.06,36.3,0.0,2026-04
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Kapurthala,"(Medical Education, Ministry of Health and Family Welfare)",473,Punjab,11/2019,07/2027,12/2028,,325.0,550.0,0.0,0.0,69.23076923076923,2026-04
Ministry of Coal,Coal,KONAR EXPANSION OCP,(Ministry of Coal),44,Jharkhand,01/2022,01/2022,03/2032,,799.34,799.34,433.64,53.47,0.0,2026-04
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Jamui,"(Medical Education, Ministry of Health and Family Welfare)",458,Bihar,03/2019,10/2022,10/2025,,250.0,500.0,102.21,50.0,100.0,2026-04
